,Point,Class1 Parzen,Class1 kNN,Class1 Prior,Class1 Posterior Prob Parzen,Class1 Posterior Prob kNN,Class2 Parzen,Class2 kNN,Class2 Prior,Class2 Posterior Prob Parzen,Class2 Posterior Prob kNN
0,"-3.917456443, -8.048795092",0.017722740940622962,0.04592509359944812,0.5,0.02296254679972406,0.02296254679972406,3.518007911923472e-39,0.004376552335998361,0.5,0.0021882761679991804,0.0021882761679991804
1,"-4.760115319, -4.991721077",0.009917395903775498,0.03353290149699648,0.5,0.01676645074849824,0.01676645074849824,1.708828948426229e-20,0.0055046559485303825,0.5,0.0027523279742651913,0.0027523279742651913
2,"-4.562108986, -9.382459962",0.026776876178359246,0.07142963412695716,0.5,0.03571481706347858,0.03571481706347858,1.3066530233932235e-57,0.0037862950901091427,0.5,0.0018931475450545713,0.0018931475450545713
3,"-7.869898001, -6.72147724",0.010909849696132184,0.026099063756588083,0.5,0.013049531878294041,0.013049531878294041,1.543747145204335e-58,0.0037173418402809,0.5,0.00185867092014045,0.00185867092014045
4,"-6.328643148, -3.673950408",0.011677773700389265,0.03706417621099122,0.5,0.01853208810549561,0.01853208810549561,5.918158412390546e-27,0.005115686145807099,0.5,0.0025578430729035497,0.0025578430729035497
5,"-4.31451484, -7.709589889",0.018532584156005654,0.048571194252558215,0.5,0.024285597126279108,0.024285597126279108,9.634347056973934e-38,0.0043811725643015855,0.5,0.0021905862821507928,0.0021905862821507928
6,"-3.849389732, -9.717319805",0.01303603044289813,0.0409541644925207,0.5,0.02047708224626035,0.02047708224626035,2.4687530069593258e-58,0.0038158783857078415,0.5,0.0019079391928539208,0.0019079391928539208
7,"-6.198389638, -9.649838617",0.007544726375569897,0.03387110296560532,0.5,0.01693555148280266,0.01693555148280266,1.4855166203836256e-72,0.0034044994823613827,0.5,0.0017022497411806913,0.0017022497411806913
8,"-4.383834725, -8.647607106",0.029252965393167914,0.07220758973191647,0.5,0.03610379486595824,0.03610379486595824,6.748190172043726e-48,0.004044021335456907,0.5,0.0020220106677284536,0.0020220106677284536
9,"-4.502245964, -6.249256215",0.021887921361629252,0.054600614322990654,0.5,0.027300307161495327,0.027300307161495327,1.5040867436993937e-26,0.004954595292583541,0.5,0.0024772976462917704,0.0024772976462917704
10,"-4.603842787, -7.208625794",0.021745886387198463,0.05727613045045419,0.5,0.028638065225227095,0.028638065225227095,1.0235514225918372e-34,0.004517165238219656,0.5,0.002258582619109828,0.002258582619109828
11,"-5.604302447, -5.909573154",0.02090627721416175,0.04937222085619491,0.5,0.024686110428097454,0.024686110428097454,2.201718111846003e-31,0.004709871711215393,0.5,0.0023549358556076965,0.0023549358556076965
12,"-5.970018503, -4.109431701",0.0069846255354425076,0.03590825357321078,0.5,0.01795412678660539,0.01795412678660539,2.5425293258315023e-25,0.0052061829161401665,0.5,0.0026030914580700833,0.0026030914580700833
13,"-6.031685807, -6.586953277",0.02352867576790559,0.0562627430655966,0.5,0.0281313715327983,0.0281313715327983,1.6110275540691917e-39,0.0043246528528827,0.5,0.00216232642644135,0.00216232642644135
14,"-6.567064323, -6.794065213",0.01604196339841171,0.04489280875923135,0.5,0.022446404379615675,0.022446404379615675,8.968431654468698e-46,0.004083261241748859,0.5,0.0020416306208744296,0.0020416306208744296
15,"-4.699061606, -7.013718631",0.024155246096132968,0.054507518150863396,0.5,0.027253759075431698,0.027253759075431698,1.356529914098536e-33,0.004559148644369553,0.5,0.0022795743221847766,0.0022795743221847766
16,"-5.054127355, -6.725979053",0.027889244038979397,0.06311308022116133,0.5,0.031556540110580664,0.031556540110580664,1.948166971697928e-33,0.00455989389466266,0.5,0.00227994694733133,0.00227994694733133
17,"-3.080050071, -10.01637138",0.00653475364493018,0.030616195967457346,0.5,0.015308097983728673,0.015308097983728673,1.8044022870551097e-59,0.0038483901178052973,0.5,0.0019241950589026487,0.0019241950589026487
18,"-3.712660035, -9.483102867",0.013558869222368652,0.04690280295374109,0.5,0.023451401476870547,0.023451401476870547,9.983014585841647e-55,0.00391719917063651,0.5,0.001958599585318255,0.001958599585318255
19,"-4.502302355, -7.629929762",0.02084902828647779,0.04906276047601062,0.5,0.02453138023800531,0.02453138023800531,5.474698886425681e-38,0.004385359933052295,0.5,0.0021926799665261476,0.0021926799665261476
